"aesthetic","day_diff_med","aes_wiki_link","rank","main_img"
"Thrasher",0.00317587691936165,"https://aesthetics.fandom.com/wiki/Thrasher",92,"https://www.dontcrampmystyle.co.uk/wp-content/uploads/2014/05/Light_Pastel_Purple_429585_i0-1.png"
"2-Tone",0.00316958006831425,"https://aesthetics.fandom.com/wiki/2_Tone",93,"https://static.wikia.nocookie.net/aesthetics/images/b/bf/2tone4.png"
"Cottagecore",0.00303669175086985,"https://aesthetics.fandom.com/wiki/Cottagecore",94,"https://static.wikia.nocookie.net/aesthetics/images/b/b7/Farmcore.jpg"
"Fairycore",0.00301234694797803,"https://aesthetics.fandom.com/wiki/Fairycore",95,"https://static.wikia.nocookie.net/aesthetics/images/2/2b/1636734298-fairy-grunge-aesthetic-instagram.jpg"
"Post-rock",0.00289017341040462,"https://aesthetics.fandom.com/wiki/Post-rock",96,"https://static.wikia.nocookie.net/aesthetics/images/d/d0/GY%21BE-Fe.jpg"
"Y2K",0.0028563082963206,"https://aesthetics.fandom.com/wiki/Y2K",97,"https://static.wikia.nocookie.net/aesthetics/images/0/09/Tumblr_oetnhnECsl1v0jfsto7_1280.jpg"
"Magical Girls",0.0027027027027027,"https://aesthetics.fandom.com/wiki/Magical_Girls",98,"https://static.wikia.nocookie.net/aesthetics/images/b/b6/Sailor_Moon_Star_Crystal.png"
"Bimbocore",0.00259067357512953,"https://aesthetics.fandom.com/wiki/Bimbocore",99,"https://static.wikia.nocookie.net/aesthetics/images/a/aa/Bimbo_core_2.jpg"
"VSCO",0.0024450206616202,"https://aesthetics.fandom.com/wiki/VSCO",100,"https://static.wikia.nocookie.net/aesthetics/images/e/e4/Vsco-girl-collage.jpg"
"McBling",0.00238347591288768,"https://aesthetics.fandom.com/wiki/McBling",101,"https://static.wikia.nocookie.net/aesthetics/images/1/1d/0kxYNX.jpg"
"Decora",0.00237844797626164,"https://aesthetics.fandom.com/wiki/Decora",102,"https://static.wikia.nocookie.net/aesthetics/images/e/e3/CMxvALdUAAAJd9W.jpg"
"Androgynous",0.00232558139534884,"https://aesthetics.fandom.com/wiki/Androgynous",103,"https://static.wikia.nocookie.net/aesthetics/images/f/f1/J.jpeg"
"Weirdcore",0.00208333333333333,"https://aesthetics.fandom.com/wiki/Weirdcore",104,"https://static.wikia.nocookie.net/aesthetics/images/2/21/C03C26FF-D51D-4525-85F8-1E3FF4E0BFA4.gif"
"Cybergoth",0.00198019801980198,"https://aesthetics.fandom.com/wiki/Cybergoth",105,"https://static.wikia.nocookie.net/aesthetics/images/8/84/Bff286a5695fc4893403ec4abcd41bae.jpg"
"Milk",0.00197044526238954,"https://aesthetics.fandom.com/wiki/Milk",106,"https://static.wikia.nocookie.net/aesthetics/images/e/ee/Milk-bottle-pink-white.jpg"
"Scrapbook",0.00183823529411765,"https://aesthetics.fandom.com/wiki/Scrapbook",107,"https://static.wikia.nocookie.net/aesthetics/images/4/49/90s_Inspiration.jpg"
"Country",0.00165745856353591,"https://aesthetics.fandom.com/wiki/Country",108,"https://static.wikia.nocookie.net/aesthetics/images/f/f9/Country_couple.jpg"
"Rockabilly",0.00153846153846154,"https://aesthetics.fandom.com/wiki/Rockabilly",109,"https://static.wikia.nocookie.net/aesthetics/images/9/9e/Rockabilly_dinner.jpg"
"Lounge",0.00144114658944565,"https://aesthetics.fandom.com/wiki/Lounge",110,"https://static.wikia.nocookie.net/aesthetics/images/1/1c/Guy-fieri.jpg"
"Hipster",0.00140889194818031,"https://aesthetics.fandom.com/wiki/Hipster",111,"https://static.wikia.nocookie.net/aesthetics/images/2/22/220px-Postmodern_Ironic_Hipster_Fashion.jpg"
"Spring",0.0013156290612994,"https://aesthetics.fandom.com/wiki/Spring",112,"https://static.wikia.nocookie.net/aesthetics/images/7/7c/Spring.PNG"
"Mermaid",0.00121359859849359,"https://aesthetics.fandom.com/wiki/Mermaid",113,"https://static.wikia.nocookie.net/aesthetics/images/1/12/Mermaid_scales2.jpg"
"Softie",0.000682128240109141,"https://aesthetics.fandom.com/wiki/Softie",114,"https://static.wikia.nocookie.net/aesthetics/images/6/60/Kawaiisoftie.jpg"
"Psychedelica",0.000612182487720747,"https://aesthetics.fandom.com/wiki/Psychedelica",115,"https://static.wikia.nocookie.net/aesthetics/images/3/34/No_title%2C_by_Seemon_%26_Marijke%2C_1967%2C_exhibitioon_copies%2C_Stedelijk_Museum_Amsterdam.jpeg"
"Delicate Sweet",0,"https://aesthetics.fandom.com/wiki/Delicate_Sweet",116,"https://static.wikia.nocookie.net/aesthetics/images/e/e5/Middlepot.jpg"
"Neko",0,"https://aesthetics.fandom.com/wiki/Neko",117,"https://static.wikia.nocookie.net/aesthetics/images/9/96/HTB1xhFkXyfrK1RjSspbxh74pFXav.jpg"
"Plant Mom",0,"https://aesthetics.fandom.com/wiki/Plant_Mom",118,"https://static.wikia.nocookie.net/aesthetics/images/6/62/777caca5bb2b5c03bee61ba125575722.jpg"
"Wanderlust",0,"https://aesthetics.fandom.com/wiki/Wanderlust",119,"https://static.wikia.nocookie.net/aesthetics/images/9/9f/Paris-france-europe-davidsbeenhere2.jpg"
"XO",0,"https://aesthetics.fandom.com/wiki/XO",120,"https://static.wikia.nocookie.net/aesthetics/images/0/06/HouseOfBalloons.jpg"
