"","aesthetic","aes_link","depop_results","date"
"209","Fairy Academia","https://aesthetics.fandom.com/wiki/Fairy_Academia",NA,"2023-01-14"
"210","Fairy Grunge","https://aesthetics.fandom.com/wiki/Fairy_Grunge",NA,"2023-01-14"
"211","Fairy Kei","https://aesthetics.fandom.com/wiki/Fairy_Kei",NA,"2023-01-14"
"212","Fairy Tale","https://aesthetics.fandom.com/wiki/Fairy_Tale",NA,"2023-01-14"
"213","Fairycore","https://aesthetics.fandom.com/wiki/Fairycore",12640,"2023-01-14"
"214","Fanfare","https://aesthetics.fandom.com/wiki/Fanfare",1,"2023-01-14"
"215","Fantasy","https://aesthetics.fandom.com/wiki/Fantasy",NA,"2023-01-14"
"216","Fantasy Astronomy","https://aesthetics.fandom.com/wiki/Fantasy_Astronomy",NA,"2023-01-14"
"217","Fashwave","https://aesthetics.fandom.com/wiki/Fashwave",NA,"2023-01-14"
"218","Farmer's Daughter","https://aesthetics.fandom.com/wiki/Farmer%27s_Daughter",27,"2023-01-14"
"219","Fauvism","https://aesthetics.fandom.com/wiki/Fauvism",NA,"2023-01-14"
"220","Fawncore","https://aesthetics.fandom.com/wiki/Fawncore",31,"2023-01-14"
"221","Femboy","https://aesthetics.fandom.com/wiki/Femboy",16,"2023-01-14"
"222","Femcel Weeaboo","https://aesthetics.fandom.com/wiki/Femcel_Weeaboo",NA,"2023-01-14"
"223","Femme Fatale","https://aesthetics.fandom.com/wiki/Femme_Fatale",77,"2023-01-14"
"224","Feralcore","https://aesthetics.fandom.com/wiki/Feralcore",5,"2023-01-14"
"225","Film Noir","https://aesthetics.fandom.com/wiki/Film_Noir",25,"2023-01-14"
"226","Flapper","https://aesthetics.fandom.com/wiki/Flapper",50,"2023-01-14"
"227","Flat Design","https://aesthetics.fandom.com/wiki/Flat_Design",NA,"2023-01-14"
"228","Folk Punk","https://aesthetics.fandom.com/wiki/Folk_Punk",NA,"2023-01-14"
"229","Foodie","https://aesthetics.fandom.com/wiki/Foodie",20,"2023-01-14"
"230","Forestpunk","https://aesthetics.fandom.com/wiki/Forestpunk",45,"2023-01-14"
"231","French Girl","https://aesthetics.fandom.com/wiki/French_Girl",NA,"2023-01-14"
"232","French Girly","https://aesthetics.fandom.com/wiki/French_Girly",15,"2023-01-14"
"233","Frogcore","https://aesthetics.fandom.com/wiki/Frogcore",18,"2023-01-14"
"234","Frutiger Aero","https://aesthetics.fandom.com/wiki/Frutiger_Aero",NA,"2023-01-14"
"235","Funky Seasons","https://aesthetics.fandom.com/wiki/Funky_Seasons",74,"2023-01-14"
"236","Furry","https://aesthetics.fandom.com/wiki/Furry",304,"2023-01-14"
"237","Futago","https://aesthetics.fandom.com/wiki/Futago",NA,"2023-01-14"
"238","Futurism","https://aesthetics.fandom.com/wiki/Futurism",NA,"2023-01-14"
"239","Gadgetpunk","https://aesthetics.fandom.com/wiki/Gadgetpunk",NA,"2023-01-14"
"240","Game Night","https://aesthetics.fandom.com/wiki/Game_Night",NA,"2023-01-14"
"241","Gamercore","https://aesthetics.fandom.com/wiki/Gamercore",NA,"2023-01-14"
"242","Gamine","https://aesthetics.fandom.com/wiki/Gamine",173,"2023-01-14"
"243","Geek","https://aesthetics.fandom.com/wiki/Geek",77,"2023-01-14"
"244","Gen X Soft Club","https://aesthetics.fandom.com/wiki/Gen_X_Soft_Club",NA,"2023-01-14"
"245","Ghostcore","https://aesthetics.fandom.com/wiki/Ghostcore",12,"2023-01-14"
"246","Girl-Next-Door","https://aesthetics.fandom.com/wiki/Girl-Next-Door",64,"2023-01-14"
"247","Glam Girl","https://aesthetics.fandom.com/wiki/Glam_Girl",NA,"2023-01-14"
"248","Glam Rock","https://aesthetics.fandom.com/wiki/Glam_Rock",NA,"2023-01-14"
"249","Glitchcore","https://aesthetics.fandom.com/wiki/Glitchcore",60,"2023-01-14"
"250","Gloomcore","https://aesthetics.fandom.com/wiki/Gloomcore",46,"2023-01-14"
"251","Glowwave","https://aesthetics.fandom.com/wiki/Glowwave",NA,"2023-01-14"
"252","Goblin Academia","https://aesthetics.fandom.com/wiki/Goblin_Academia",NA,"2023-01-14"
"253","Goblincore","https://aesthetics.fandom.com/wiki/Goblincore",1653,"2023-01-14"
"254","Golden Age of Detective Fiction","https://aesthetics.fandom.com/wiki/Golden_Age_of_Detective_Fiction",NA,"2023-01-14"
"255","Golden Hour","https://aesthetics.fandom.com/wiki/Golden_Hour",NA,"2023-01-14"
"256","Gopnik","https://aesthetics.fandom.com/wiki/Gopnik",3,"2023-01-14"
"257","Gorecore","https://aesthetics.fandom.com/wiki/Gorecore",881,"2023-01-14"
"258","Gorpcore","https://aesthetics.fandom.com/wiki/Gorpcore",882,"2023-01-14"
"259","Goth","https://aesthetics.fandom.com/wiki/Goth",NA,"2023-01-14"
"260","Gothcore","https://aesthetics.fandom.com/wiki/Gothcore",290,"2023-01-14"
"261","Gothic","https://aesthetics.fandom.com/wiki/Gothic",NA,"2023-01-14"
"262","Gothic Lolita","https://aesthetics.fandom.com/wiki/Gothic_Lolita",NA,"2023-01-14"
"263","Grandmillenial","https://aesthetics.fandom.com/wiki/Grandmillenial",12,"2023-01-14"
"264","Grandparentcore","https://aesthetics.fandom.com/wiki/Grandparentcore",12,"2023-01-14"
"265","Greaser","https://aesthetics.fandom.com/wiki/Greaser",42,"2023-01-14"
"266","Green Academia","https://aesthetics.fandom.com/wiki/Green_Academia",NA,"2023-01-14"
"267","Grifes","https://aesthetics.fandom.com/wiki/Grifes",11,"2023-01-14"
"268","Grindhouse","https://aesthetics.fandom.com/wiki/Grindhouse",1,"2023-01-14"
"269","Groundcore","https://aesthetics.fandom.com/wiki/Groundcore",9,"2023-01-14"
"270","Grunge","https://aesthetics.fandom.com/wiki/Grunge",NA,"2023-01-14"
"271","Gull Girl","https://aesthetics.fandom.com/wiki/Gull_Girl",NA,"2023-01-14"
"272","Gurokawa","https://aesthetics.fandom.com/wiki/Gurokawa",10,"2023-01-14"
"273","Gyaru","https://aesthetics.fandom.com/wiki/Gyaru",465,"2023-01-14"
"274","Hackercore","https://aesthetics.fandom.com/wiki/Hackercore",1,"2023-01-14"
"275","Halloween","https://aesthetics.fandom.com/wiki/Halloween",3785,"2023-01-14"
